order_id,region,category,sales,discount,quantity,order_date,delivery_date,customer_type,payment_mode,profit,city,New_Column,Net_Reveune,,,
ORD100000,East,Clothing,713.49,0.31,3,3/30/2023,04-01-2023,Member,UPI,114.72,Pune,221.1819,492.3081,,,
ORD100001,West,Electronics,3802.97,0.38,4,8/28/2023,09-03-2023,Regular,Card,971.41,Hyderabad,1445.1286,2357.8414,,,
ORD100002,North,Home Care,3588.97,0.1,7,03-09-2024,3/15/2024,Regular,Cash,769.08,Bangalore,358.897,3230.073,,,
ORD100003,East,Electronics,1160.86,0.27,5,10/13/2024,10/19/2024,Member,UPI,71.61,Pune,313.4322,847.4278,,,
ORD100004,East,Electronics,3071.32,0,7,04-06-2023,04-09-2023,New,Cash,621.92,Bangalore,0,3071.32,,Total_Reveune,4429.9209
ORD100005,West,Grocery,2566.18,0.02,6,07-01-2023,07-04-2023,Member,UPI,578.94,Mumbai,51.3236,2514.8564,,Average_Reveune,1915.192082
ORD100006,North,Personal Care,398,0.16,4,07-12-2023,7/17/2023,New,Cash,110.31,Mumbai,63.68,334.32,,Name Range,
ORD100007,North,Personal Care,1462.95,0.23,2,5/18/2023,5/20/2023,Regular,UPI,91.68,Bangalore,336.4785,1126.4715,,39262877.52,
ORD100008,East,Personal Care,4997.47,0.29,6,01-05-2024,01-08-2024,Regular,Card,995.78,Delhi,1449.2663,3548.2037,,,
ORD100009,South,Grocery,587.72,0.44,6,08-10-2024,8/17/2024,New,Cash,102.96,Pune,258.5968,329.1232,,,
ORD100010,East,Clothing,2581.42,0.39,6,05-07-2024,05-08-2024,Regular,Cash,542.82,Bangalore,1006.7538,1574.6662,,,
ORD100011,East,Clothing,4261.74,0.15,1,09-02-2023,09-03-2023,New,UPI,1028.47,Pune,639.261,3622.479,,,
ORD100012,East,Home Care,1573.19,0.37,6,02-09-2024,2/16/2024,New,Cash,131.5,Bangalore,582.0803,991.1097,,,
ORD100013,East,Clothing,1377.47,0.27,2,5/28/2023,5/29/2023,Member,Cash,255.49,Delhi,371.9169,1005.5531,,,
ORD100014,West,Clothing,4464.89,0.39,5,01-05-2024,01-12-2024,Regular,UPI,804.36,Pune,1741.3071,2723.5829,,,
ORD100015,North,Personal Care,1593.67,0.21,7,10/18/2024,10/22/2024,Member,Card,284.91,Chennai,334.6707,1258.9993,,,
ORD100016,West,Electronics,3292.32,0.05,1,4/26/2023,4/27/2023,Member,Card,504.83,Mumbai,164.616,3127.704,,,
ORD100017,West,Clothing,3727.53,0.31,5,10/29/2023,11-05-2023,Regular,Card,978.07,Chennai,1155.5343,2571.9957,,,
